name,ref_name,plnt_com,mgt
cashgrain_lum,corn120_lum,cashgraint1_comm,cashgrain_t1
cashgraint1_lum,corn120_lum,cashgraint1_comm,cashgrain_t1
cashgraint2_lum,corn120_lum,cashgraint2_comm,cashgrain_t2
cashgraint3_lum,corn120_lum,cashgraint3_comm,cashgrain_t3
cashgraint4_lum,corn120_lum,cashgraint4_comm,cashgrain_t4
dairy_lum,csil100_lum,dairy1t1_comm,dairy_s1_t1
dairy1t1_lum,csil100_lum,dairy1t1_comm,dairy_s1_t1
dairy1t2_lum,csil100_lum,dairy1t2_comm,dairy_s1_t2
dairy1t3_lum,csil100_lum,dairy1t3_comm,dairy_s1_t3
conthay_lum,alfa_lum,conthay_comm,conthay
dairy2t1_lum,csil100_lum,dairy2t1_comm,dairy_s2_t1
dairy2t2_lum,csil100_lum,dairy2t2_comm,dairy_s2_t2
dairy2t3_lum,csil100_lum,dairy2t3_comm,dairy_s2_t3
contcorn_lum,corn120_lum,contcornt1_comm,contcorn_t1
contcornt1_lum,corn120_lum,contcornt1_comm,contcorn_t1
contcornt2_lum,corn120_lum,contcornt2_comm,contcorn_t2
contcornt3_lum,corn120_lum,contcornt3_comm,contcorn_t3
