NEW_LANDUSE_ID,NEW_NAME,SWAT_CODE,PLANT_COMM
2110,cashgrain,corn120,corn120-soyb120
2111,cashgraint1,corn120,corn120-soyb120
2112,cashgraint2,corn120,corn120-soyb120
2113,cashgraint3,corn120,corn120-soyb120
2114,cashgraint4,corn120,corn120-soyb120
2120,contcorn,corn120,corn120
2121,contcornt1,corn120,corn120
2122,contcornt2,corn120,corn120
2123,contcornt3,corn120,corn120
2130,dairy,csil100,csil100-alfa
2131,dairy1t1,csil100,csil100-alfa
2132,dairy1t2,csil100,csil100-alfa
2133,dairy1t3,csil100,csil100-alfa
2134,dairy2t1,csil100,csil100-corn120-alfa
2135,dairy2t2,csil100,csil100-corn120-alfa
2136,dairy2t3,csil100,csil100-corn120-alfa
3110,conthay,alfa,alfa
