name,numb_auto
cashgrain_t1,"2,pl_hv_cashgrain_6yrs,tillage_1"
cashgrain_t2,"2,pl_hv_cashgrain_6yrs,tillage_2"
cashgrain_t3,"2,pl_hv_cashgrain_6yrs,tillage_3"
cashgrain_t4,"2,pl_hv_cashgrain_6yrs,tillage_4"
dairy_s1_t1,"2,pl_hv_dairy_csalf_6yrs,tillage_1_dairys1s2"
dairy_s1_t2,"2,pl_hv_dairy_csalf_6yrs,tillage_2_dairys1s2"
dairy_s1_t3,"2,pl_hv_dairy_csalf_6yrs,tillage_3_dairys1s2"
dairy_s2_t1,"2,pl_hv_dairy_cscgalf_6yrs,tillage_1_dairys1s2"
dairy_s2_t2,"2,pl_hv_dairy_cscgalf_6yrs,tillage_2_dairys1s2"
dairy_s2_t3,"2,pl_hv_dairy_cscgalf_6yrs,tillage_3_dairys1s2"
contcorn_t1,"2,pl_hv_contcorn,tillage_1"
contcorn_t2,"2,pl_hv_contcorn,tillage_2"
contcorn_t3,"2,pl_hv_contcorn,tillage_3"
conthay,"1,pl_hv_conthay_6yrs"
